node,community_id,strength
lukasmasuch,0,2037.0
sfc-gh-bnisco,0,1319.0
sfc-gh-lwilby,0,1164.0
sfc-gh-nbellante,0,517.0
mayagbarnes,0,492.0
sfc-gh-lmasuch,0,150.0
sfc-gh-smohile,0,68.0
sfc-gh-mbarnes,0,60.0
raethlein,0,37.0
K-dash,0,28.0
bajajku,0,18.0
MathCatsAnd,0,16.0
karubian,0,16.0
lukewang05,0,15.0
erenkcdg,0,14.0
KaranPradhan266,0,13.0
ranmocy,0,11.0
ashm-dev,0,10.0
cgivre,0,9.0
nico-bellante,0,9.0
sfc-gh-pchiu,0,9.0
whitphx,0,9.0
SiddhantSadangi,0,7.0
tortaepaisitphongse,0,7.0
Areen3112,0,6.0
co63oc,0,6.0
joanaarnauth,0,6.0
sfc-gh-kjavadyan,0,5.0
tysoncung,0,5.0
kkchemboli,0,4.0
matilde2004,0,4.0
xr843,0,4.0
Franco-15,0,3.0
TiagoLouro14,0,3.0
alexmalins,0,3.0
diwu-sf,0,3.0
duvvuvenkataramana,0,3.0
nileshhadalgi016,0,3.0
nitinjadhav888,0,3.0
An1k4et,0,2.0
Dev-iL,0,2.0
LakshmiSravyaVedantham,0,2.0
Mr-Neutr0n,0,2.0
Navadeep0007,0,2.0
aayushbaluni,0,2.0
geoextra,0,2.0
ghilesmeddour,0,2.0
ivanmilevtues,0,2.0
lawilby,0,2.0
mohankumarelec,0,2.0
ndawe,0,2.0
okapiadmin,0,2.0
rafmudaf,0,2.0
taimoorzulfiqar,0,2.0
utruong309,0,2.0
veeceey,0,2.0
w-userc,0,2.0
0xtaufeeq,0,1.0
AB5111,0,1.0
Ahmednoorani258,0,1.0
Berschi,0,1.0
EwoutH,0,1.0
Flamki,0,1.0
Luis-B97,0,1.0
ManasVardhan,0,1.0
MarcSkovMadsen,0,1.0
OrthelT,0,1.0
Rohan5commit,0,1.0
RonaldAJ,0,1.0
USDTLORD1,0,1.0
adhikjoshi,0,1.0
adityaidev,0,1.0
alvinttang,0,1.0
andreif-funnel,0,1.0
aritradhabal,0,1.0
asehmi,0,1.0
ben05allen,0,1.0
bodacious-bill,0,1.0
chrispy-snps,0,1.0
fstermann,0,1.0
gambletan,0,1.0
ianjch314,0,1.0
ibnesayeed,0,1.0
jota12x,0,1.0
krupal-p,0,1.0
mdrazak2001,0,1.0
mohamedirsath07,0,1.0
moniqu3443,0,1.0
nicornk,0,1.0
pmareke,0,1.0
rkthaild,0,1.0
sfc-gh-braethlein,0,1.0
sfc-gh-hkantuni,0,1.0
sfc-gh-jroes,0,1.0
thimiratk,0,1.0
tnir,0,1.0
tomtung,0,1.0
vardhan30016,0,1.0
vishall4,0,1.0
yuri-schmaltz,0,1.0
jrieke,1,346.0
sfc-gh-dmatthews,1,135.0
sfc-gh-jkinkead,1,48.0
sfc-gh-aamadhavan,1,36.0
sfc-gh-jrieke,1,34.0
jose-mindwayai,1,25.0
jensonjohnathon,1,23.0
kagawa0710,1,22.0
duartecaldascardoso,1,20.0
